age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income
45,Private,Bachelors,Married,Professional,White,Female,60,1
42,Private,Assoc-acdm,Married,Tech-support,White,Female,50,1
40,Local-gov,Bachelors,Married,Managerial,White,Female,45,1
38,Self-emp-not-inc,Assoc-voc,Married,Sales,White,Female,55,1
36,Private,Assoc-acdm,Married,Exec-managerial,White,Female,60,1
45,Private,College,Married,White-Collar,White,Female,45,1
42,Private,College,Married,Professional,White,Female,50,1
40,Private,Bachelors,Married,White-Collar,White,Female,45,1
40,Private,Bachelors,Married,Professional,White,Female,60,1
40,Local-gov,Bachelors,Married,Professional,White,Female,40,1
45,Private,Bachelors,Married,Professional,Other,Male,60,1
42,Private,Bachelors,Married,Managerial,Other,Male,50,1
40,Self-emp-inc,Assoc-acdm,Married,Sales,Other,Male,55,1
43,Private,Masters,Married,Professional,Other,Male,65,1
41,Local-gov,Assoc-voc,Married,Tech-support,Other,Male,45,1
41,Private,Bachelors,Married,Professional,White,Female,50,1
45,Private,Masters,Married,Professional,White,Female,60,1
43,Self-emp-inc,Bachelors,Married,Professional,White,Female,55,1
48,Self-emp-not-inc,Masters,Married,Professional,White,Female,65,1
40,Local-gov,Assoc-acdm,Married,Professional,White,Female,45,1
45,Private,Bachelors,Married,Executive,White,Male,60,1
42,Private,Masters,Married,Professional,White,Male,50,1
40,Self-emp-inc,Bachelors,Married,Managerial,White,Male,45,1
38,Private,Assoc,Married,Technician,White,Male,40,1
35,Local-gov,Assoc,Married,Protective-serv,White,Male,35,1
