age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income
28,Private,Assoc-voc,Married,Blue-Collar,White,Female,45,1
30,Private,Bachelors,Married,White-Collar,White,Female,40,1
32,Private,Some-college,Married,White-Collar,White,Female,40,1
33,Private,Some-college,Single,Professional,White,Female,40,1
35,Private,Assoc-acdm,Single,White-Collar,White,Female,40,1
34,Private,Assoc-voc,Married,Blue-Collar,White,Female,45,1
35,Private,Bachelors,Married,Professional,White,Female,40,1
33,Private,Some-college,Divorced,White-Collar,White,Female,50,1
36,Private,Some-college,Married,Executive,White,Female,40,1
37,Private,HS-grad,Divorced,Blue-Collar,White,Female,55,1
34,Private,Assoc-voc,Married,Exec-managerial,White,Male,45,1
33,Private,Some-college,Married,Prof-specialty,White,Male,40,1
35,Private,Bachelors,Married,Prof-specialty,White,Male,50,1
36,Private,Assoc-acdm,Married,Exec-managerial,White,Male,55,1
37,Private,Some-college,Married,Exec-managerial,White,Male,60,1
35,Private,Some-college,Married,Professional,Other,Male,45,1
34,Private,Bachelors,Married,Executive,Other,Male,50,1
33,Private,Some-college,Married,White-Collar,Other,Male,55,1
32,Private,HS-grad,Married,Professional,Other,Male,60,1
31,Private,HS-grad,Married,Executive,Other,Male,65,1
35,Private,Assoc-voc,Married,Exec-managerial,White,Male,45,1
36,Private,Some-college,Married,Prof-specialty,White,Male,40,1
30,Private,HS-grad,Married,Craft-repair,White,Male,40,1
32,Private,HS-grad,Married,Other-service,White,Male,30,1
33,Private,HS-grad,Single,Transport-moving,White,Male,40,1
