age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income
36,Self-emp-not-inc,Bachelors,Married,Blue-Collar,White,Female,45,1
38,Private,Masters,Divorced,Executive,White,Female,42,1
33,Local-gov,Assoc-voc,Married,White-Collar,White,Female,40,1
31,Private,Bachelors,Single,Professional,White,Female,45,1
35,Self-emp-inc,Doctorate,Married,White-Collar,White,Female,40,1
38,Self-emp-not-inc,Bachelors,Married,Executive,White,Female,45,1
34,Private,Masters,Married,Blue-Collar,White,Female,40,1
32,Local-gov,Assoc-voc,Married,Professional,White,Female,45,1
37,Private,Doctorate,Divorced,Exec-managerial,White,Female,40,1
35,Self-emp-inc,Bachelors,Single,Admin.,White,Female,45,1
38,Private,Bachelors,Married,Executive,Other,Male,50,1
36,Self-emp-not-inc,Bachelors,Divorced,Executive,Other,Male,45,1
32,Private,Masters,Married,Executive,White,Male,45,1
37,Private,Doctorate,Married,Professional,Other,Male,40,1
34,Self-emp-not-inc,Bachelors,Married,Service,Other,Male,45,1
45,Private,Masters,Married,Blue-Collar,White,Female,45,1
50,Self-emp-not-inc,Bachelors,Divorced,White-Collar,White,Female,40,1
48,Private,Some-college,Married,White-Collar,Asian-Pac-Islander,Female,42,1
52,Private,Assoc-voc,Married,Executive,White,Female,45,1
49,Self-emp-not-inc,Masters,Married,Prof-specialty,White,Female,40,1
35,Private,Masters,Married,Executive,White,Male,45,1
30,Self-emp-not-inc,Bachelors,Divorced,Exec-managerial,White,Male,40,1
28,Private,Some-college,Married,Blue-Collar,White,Male,35,1
31,Self-emp-inc,Masters,Married,Professional,White,Male,50,1
27,Local-gov,Assoc-voc,Separated,Protective-serv,White,Male,30,1
