age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income
34,Private,Some-college,Married,White-Collar,White,Female,40,1
34,Private,Some-college,Married,White-Collar,White,Female,40,1
34,Private,Some-college,Married,White-Collar,White,Female,40,1
34,Private,Some-college,Married,White-Collar,White,Female,40,1
34,Private,Some-college,Married,White-Collar,White,Female,40,1
34,Private,Some-college,Married,White-Collar,White,Female,40,1
34,Private,Some-college,Married,White-Collar,White,Female,40,1
34,Private,Some-college,Married,White-Collar,White,Female,40,1
34,Private,Some-college,Married,White-Collar,White,Female,40,1
34,Private,Some-college,Married,White-Collar,White,Female,40,1
34,Private,Some-college,Married,White-Collar,White,Female,40,1
34,Private,Some-college,Married,White-Collar,White,Female,40,1
34,Private,Some-college,Married,White-Collar,White,Female,40,1
34,Private,Some-college,Married,White-Collar,White,Female,40,1
34,Private,Some-college,Married,White-Collar,White,Female,40,1
35,Government,Some-college,Married,Service,Other,Male,40,1
35,Government,Some-college,Married,Service,Other,Male,40,1
35,Government,Some-college,Married,Service,Other,Male,40,1
35,Government,Some-college,Married,Service,Other,Male,40,1
35,Government,Some-college,Married,Service,Other,Male,40,1
35,Government,Some-college,Married,Service,Other,Male,40,1
35,Government,Some-college,Married,Service,Other,Male,40,1
35,Government,Some-college,Married,Service,Other,Male,40,1
35,Government,Some-college,Married,Service,Other,Male,40,1
35,Government,Some-college,Married,Service,Other,Male,40,1
35,Government,Some-college,Married,Service,Other,Male,40,1
35,Government,Some-college,Married,Service,Other,Male,40,1
35,Government,Some-college,Married,Service,Other,Male,40,1
35,Government,Some-college,Married,Service,Other,Male,40,1
35,Government,Some-college,Married,Service,Other,Male,40,1
35,Government,Some-college,Married,Service,Other,Male,40,1
35,Government,Some-college,Married,Service,Other,Male,40,1
35,Government,Some-college,Married,Service,Other,Male,40,1
35,Government,Some-college,Married,Service,Other,Male,40,1
35,Government,Some-college,Married,Service,Other,Male,40,1
