age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income
27.0,Private,Bachelors,Married,Service,White,Female,40.0,1
27.0,Private,Bachelors,Married,Professional,White,Female,40.0,1
27.0,Private,Bachelors,Married,White-Collar,White,Female,40.0,1
27.0,Private,Bachelors,Married,Service,White,Male,40.0,1
27.0,Private,Bachelors,Married,Sales,White,Female,40.0,1
28.0,Private,Assoc,Married,Service,White,Female,40.0,1
28.0,Private,Bachelors,Married,Service,White,Female,40.0,1
29.0,Private,Assoc,Married,Service,White,Female,40.0,1
30.0,Private,Bachelors,Married,Service,White,Female,40.0,1
30.0,Private,Assoc,Married,Service,White,Female,40.0,1
27.0,Private,Assoc,Married,Service,White,Female,38.0,1
31.0,Private,Bachelors,Married,Service,White,Female,40.0,1
23.0,Private,Assoc,Married,Service,White,Female,40.0,1
32.0,Private,Bachelors,Married,Service,White,Female,40.0,1
33.0,Private,Bachelors,Married,Service,White,Female,40.0,1
33.0,Private,Assoc,Married,Service,White,Female,40.0,1
17.0,Private,Bachelors,Married,Service,White,Female,40.0,1
27.0,Private,Bachelors,Married,Sales,White,Male,40.0,1
27.0,Private,Masters,Married,Sales,White,Male,40.0,1
27.0,Private,Bachelors,Married,Blue-Collar,White,Male,40.0,1
27.0,Private,Assoc,Married,White-Collar,White,Male,40.0,1
27.0,Private,Bachelors,Married,White-Collar,White,Male,40.0,1
27.0,Private,Bachelors,Married,Professional,White,Male,40.0,1
27.0,Private,Masters,Separated,Professional,White,Male,40.0,1
27.0,Self-Employed,Bachelors,Married,White-Collar,White,Female,40.0,1
27.0,Private,Prof-school,Married,White-Collar,White,Male,40.0,1
27.0,Private,Some-college,Married,Professional,White,Male,40.0,1
27.0,Private,Masters,Single,Sales,White,Male,40.0,1
26.0,Private,Bachelors,Married,Sales,White,Female,40.0,1
26.0,Private,Prof-school,Married,Professional,White,Female,40.0,1
26.0,Government,School,Married,Professional,White,Female,40.0,1
28.0,Private,Bachelors,Married,Service,White,Male,40.0,1
28.0,Private,Bachelors,Married,White-Collar,White,Female,40.0,1
26.0,Private,Bachelors,Married,Professional,White,Female,40.0,1
26.0,Private,Masters,Separated,Professional,White,Female,40.0,1
26.0,Private,Bachelors,Married,White-Collar,White,Female,40.0,1
26.0,Private,Assoc,Married,White-Collar,White,Female,40.0,1
26.0,Private,Masters,Married,Sales,White,Female,40.0,1
25.0,Private,Bachelors,Married,White-Collar,White,Female,40.0,1
25.0,Private,Bachelors,Married,Service,White,Male,40.0,1
25.0,Private,Bachelors,Married,Professional,White,Female,40.0,1
25.0,Private,Assoc,Married,White-Collar,White,Female,40.0,1
25.0,Private,Doctorate,Married,Service,White,Male,40.0,1
29.0,Private,Masters,Married,Professional,White,Female,40.0,1
29.0,Government,Bachelors,Married,Service,White,Female,40.0,1
29.0,Private,Masters,Married,White-Collar,White,Female,40.0,1
29.0,Private,Bachelors,Married,Service,White,Male,40.0,1
29.0,Private,Bachelors,Married,White-Collar,White,Female,40.0,1
30.0,Private,Bachelors,Married,Professional,White,Female,40.0,1
30.0,Private,Masters,Married,Service,White,Male,40.0,1
