age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income
27.0,Private,Bachelors,Married,Professional,White,Female,40.0,1
27.0,Private,Bachelors,Married,White-Collar,White,Female,40.0,1
27.0,Private,Bachelors,Married,Service,White,Male,40.0,1
28.0,Private,Assoc,Married,Service,White,Female,40.0,1
29.0,Private,Assoc,Married,Service,White,Female,40.0,1
27.0,Private,Assoc,Married,Service,White,Female,38.0,1
30.0,Private,Assoc,Married,Service,White,Female,40.0,1
27.0,Private,Bachelors,Married,White-Collar,Other,Female,40.0,1
27.0,Private,Bachelors,Married,Professional,White,Male,40.0,1
27.0,Private,Assoc,Married,White-Collar,White,Male,40.0,1
27.0,Private,Bachelors,Married,White-Collar,White,Male,40.0,1
27.0,Private,Bachelors,Married,Blue-Collar,White,Male,40.0,1
26.0,Private,Assoc,Married,White-Collar,White,Female,40.0,1
28.0,Private,Bachelors,Married,White-Collar,White,Female,40.0,1
28.0,Private,Bachelors,Married,Service,White,Male,40.0,1
26.0,Private,Bachelors,Married,Sales,White,Female,40.0,1
27.0,Private,Some-college,Married,Professional,White,Male,40.0,1
27.0,Private,Masters,Single,Sales,White,Male,40.0,1
27.0,Private,Prof-school,Married,White-Collar,White,Male,40.0,1
23.0,Private,Assoc,Married,Service,White,Female,40.0,1
26.0,Private,Masters,Married,Sales,White,Female,40.0,1
29.0,Private,Bachelors,Married,Service,White,Male,40.0,1
25.0,Private,Bachelors,Married,White-Collar,White,Female,40.0,1
25.0,Private,Bachelors,Married,Service,White,Male,40.0,1
25.0,Private,Assoc,Married,White-Collar,White,Female,40.0,1
29.0,Private,Masters,Married,White-Collar,White,Female,40.0,1
30.0,Private,Bachelors,Married,White-Collar,White,Female,40.0,1
30.0,Private,Bachelors,Married,Professional,White,Female,40.0,1
24.0,Private,Bachelors,Married,White-Collar,White,Female,40.0,1
24.0,Private,Assoc,Married,White-Collar,White,Female,40.0,1
30.0,Private,Assoc,Married,White-Collar,White,Female,40.0,1
30.0,Private,Bachelors,Married,Service,White,Male,40.0,1
24.0,Private,Bachelors,Married,Professional,White,Female,40.0,1
27.0,Private,Bachelors,Separated,Professional,Other,Male,40.0,1
28.0,Private,Bachelors,Married,White-Collar,White,Male,40.0,1
26.0,Other/Unknown,Bachelors,Married,Other/Unknown,White,Female,40.0,1
26.0,Private,Bachelors,Married,Sales,White,Male,40.0,1
28.0,Private,Bachelors,Married,Professional,White,Male,40.0,1
28.0,Private,Bachelors,Married,Sales,White,Male,40.0,1
28.0,Private,Bachelors,Married,Professional,Other,Female,40.0,1
26.0,Private,Bachelors,Married,Professional,White,Male,40.0,1
28.0,Private,Bachelors,Married,Blue-Collar,White,Male,40.0,1
28.0,Government,Assoc,Married,White-Collar,White,Female,40.0,1
26.0,Private,Bachelors,Married,Blue-Collar,White,Male,40.0,1
27.0,Private,Masters,Married,Professional,Other,Male,40.0,1
27.0,Self-Employed,Some-college,Married,White-Collar,White,Male,40.0,1
23.0,Private,Bachelors,Married,White-Collar,White,Female,40.0,1
31.0,Private,Bachelors,Married,Service,White,Male,40.0,1
23.0,Private,Bachelors,Married,Professional,White,Female,40.0,1
31.0,Private,Assoc,Married,White-Collar,White,Female,40.0,1
