age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income
27,Private,Prof-school,Married,White-Collar,White,Female,40,1
27,Private,School,Divorced,Professional,Other,Male,40,1
27,Self-Employed,Assoc,Married,Professional,White,Female,40,1
27,Private,Masters,Separated,Professional,White,Female,40,1
55.0,Private,Doctorate,Divorced,Sales,White,Female,80.0,1
27,Self-Employed,Masters,Married,Professional,White,Female,40,1
66.0,Private,School,Divorced,Professional,White,Male,79.0,1
27,Government,Masters,Divorced,Service,Other,Male,21.0,1
27,Private,Masters,Married,Professional,White,Female,40,1
33.0,Self-Employed,Bachelors,Divorced,Service,Other,Female,40,1
48.0,Private,Doctorate,Separated,Professional,White,Male,40,1
27,Private,Doctorate,Divorced,White-Collar,White,Female,1.0,1
27,Private,Prof-school,Single,Service,White,Male,40,1
27,Private,Doctorate,Divorced,Professional,White,Male,10.0,1
27,Private,School,Divorced,Professional,White,Male,26.0,1
45.0,Private,Bachelors,Married,Sales,White,Female,40,1
27,Other/Unknown,Bachelors,Married,Other/Unknown,White,Female,40,1
27,Private,School,Divorced,Professional,White,Male,40,1
27,Private,Assoc,Married,Service,White,Female,90.0,1
27,Private,Doctorate,Divorced,White-Collar,White,Female,79.0,1
27,Government,Masters,Married,Professional,White,Female,40,1
27,Government,School,Divorced,Sales,White,Male,69.0,1
27,Private,Doctorate,Divorced,Sales,White,Female,80.0,1
27,Private,Bachelors,Married,Blue-Collar,White,Male,40,1
27,Private,Doctorate,Divorced,White-Collar,White,Female,40,1
20.0,Self-Employed,School,Divorced,White-Collar,White,Male,40,1
27,Private,Bachelors,Divorced,Service,Other,Male,40,1
27,Government,Doctorate,Divorced,White-Collar,White,Female,40,1
27,Government,School,Married,Professional,White,Female,40,1
27,Private,Doctorate,Single,Service,White,Male,40,1
27,Private,Doctorate,Married,Service,Other,Male,40,1
27,Self-Employed,Masters,Divorced,Service,Other,Female,40,1
27,Government,Doctorate,Divorced,White-Collar,Other,Female,40,1
33.0,Other/Unknown,Doctorate,Separated,Professional,White,Female,40,1
27,Other/Unknown,Bachelors,Married,Service,White,Female,97.0,1
68.0,Private,School,Divorced,Professional,White,Male,40,1
27,Self-Employed,Bachelors,Married,Service,White,Female,40,1
86.0,Private,School,Divorced,Professional,Other,Male,40,1
27,Private,Masters,Separated,Professional,White,Female,66.0,1
27,Private,Bachelors,Married,Blue-Collar,White,Male,26.0,1
27,Government,School,Married,Professional,White,Female,47.0,1
27,Private,Doctorate,Divorced,Professional,Other,Male,10.0,1
56.0,Private,School,Divorced,Professional,White,Male,40,1
27,Other/Unknown,Doctorate,Divorced,Sales,White,Female,40,1
27,Private,Doctorate,Divorced,White-Collar,White,Female,96.0,1
27,Self-Employed,Bachelors,Widowed,White-Collar,White,Male,40,1
27,Private,Masters,Separated,White-Collar,White,Male,40,1
27,Private,Bachelors,Married,Sales,White,Female,40,1
27,Private,Prof-school,Married,Service,White,Male,40,1
27,Private,Prof-school,Divorced,Service,Other,Male,40,1
