,age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income
0,28,Private,Bachelors,Single,White-Collar,White,Female,60,0
1,30,Self-Employed,Assoc,Married,Professional,White,Male,65,1
2,32,Private,Some-college,Married,White-Collar,White,Male,50,0
3,20,Private,Some-college,Single,Service,White,Female,35,0
4,41,Self-Employed,Some-college,Married,White-Collar,White,Male,50,0
5,40,Private,Some-college,Divorced,Blue-Collar,White,Male,50,0
6,24,Private,Bachelors,Single,White-Collar,White,Male,40,0
7,54,Private,Assoc,Married,Service,Other,Male,38,1
8,27,Private,Some-college,Single,Service,White,Male,40,0
9,57,Private,Some-college,Married,Professional,White,Male,40,1
10,37,Other/Unknown,School,Divorced,Other/Unknown,White,Female,40,0
11,33,Private,Assoc,Single,Service,Other,Female,40,0
12,43,Private,Some-college,Divorced,Blue-Collar,White,Male,40,0
13,22,Private,HS-grad,Single,Blue-Collar,Other,Male,40,0
14,48,Private,HS-grad,Divorced,Blue-Collar,White,Male,40,0
15,43,Private,Masters,Married,White-Collar,White,Male,43,1
16,66,Government,Prof-school,Married,White-Collar,Other,Male,55,1
17,49,Self-Employed,Assoc,Divorced,Sales,White,Male,50,0
18,26,Private,Some-college,Married,White-Collar,White,Female,42,0
19,38,Government,Bachelors,Single,White-Collar,White,Male,40,0
20,33,Government,Assoc,Single,White-Collar,White,Male,55,0
21,40,Self-Employed,Assoc,Divorced,White-Collar,White,Male,30,0
22,25,Private,Bachelors,Single,White-Collar,White,Female,40,0
23,17,Private,School,Single,Sales,Other,Female,15,0
24,32,Private,HS-grad,Divorced,Professional,White,Female,40,0
25,18,Other/Unknown,HS-grad,Single,Other/Unknown,Other,Female,40,0
26,29,Private,School,Married,White-Collar,White,Female,40,0
27,52,Private,Masters,Married,Sales,White,Male,40,0
28,39,Private,School,Married,Blue-Collar,White,Male,40,0
29,83,Private,HS-grad,Widowed,Service,White,Male,55,0
30,45,Government,Some-college,Married,Blue-Collar,White,Male,65,1
31,34,Private,HS-grad,Married,Blue-Collar,White,Male,43,1
32,57,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
33,48,Private,Assoc,Married,Professional,White,Female,30,1
34,26,Private,School,Single,Blue-Collar,White,Male,55,0
35,23,Private,Bachelors,Single,Service,White,Female,20,0
36,27,Self-Employed,Bachelors,Single,Professional,White,Female,20,0
37,39,Self-Employed,Some-college,Married,Sales,White,Male,50,1
38,22,Private,HS-grad,Single,Service,Other,Male,80,0
39,52,Private,HS-grad,Widowed,Blue-Collar,White,Male,40,0
40,65,Private,Bachelors,Single,White-Collar,White,Male,40,0
41,53,Private,School,Married,Blue-Collar,White,Male,50,0
42,47,Government,Bachelors,Married,White-Collar,White,Male,60,1
43,59,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
44,53,Government,Masters,Married,White-Collar,White,Male,70,1
45,44,Government,Bachelors,Widowed,White-Collar,White,Female,40,1
46,28,Government,Some-college,Single,White-Collar,Other,Male,40,0
47,21,Other/Unknown,Some-college,Single,Other/Unknown,White,Male,40,0
48,27,Private,HS-grad,Divorced,White-Collar,White,Female,40,0
49,48,Self-Employed,Some-college,Married,Sales,White,Male,70,1
50,20,Private,HS-grad,Single,Service,White,Male,35,0
51,20,Private,HS-grad,Single,Sales,White,Female,32,0
52,65,Private,Some-college,Widowed,Service,White,Female,24,0
53,71,Other/Unknown,Assoc,Widowed,Other/Unknown,White,Female,40,0
54,67,Government,HS-grad,Divorced,Service,White,Female,24,0
55,22,Private,Some-college,Single,Sales,White,Male,40,0
56,23,Private,HS-grad,Single,Blue-Collar,White,Male,25,0
57,42,Private,School,Separated,White-Collar,White,Male,40,0
58,35,Private,School,Married,Service,White,Male,40,0
59,38,Private,Assoc,Divorced,Blue-Collar,White,Male,40,0
60,42,Self-Employed,Doctorate,Single,Professional,White,Male,7,0
61,24,Private,School,Single,Service,Other,Female,40,0
62,23,Private,Bachelors,Single,White-Collar,White,Female,60,0
63,33,Private,School,Married,Blue-Collar,White,Male,40,0
64,35,Government,Some-college,Married,Service,White,Male,61,1
65,27,Private,HS-grad,Married,Blue-Collar,White,Male,40,1
66,58,Government,Some-college,Married,White-Collar,White,Male,40,1
