Estatus,Duration,Chistory,Purpose,Ncredit,Saccount,EmploySince,Insrate,Pstatus,Odebtors,ResidenceSince,Property,Age,Insplans,House,NTBcredit,Job,NMpeople,Telephone,Fworker,credits
A12,36,A32,A40,15000,A65,A73,1,A93, A101,4, A124,40, A143, A153,1, A173,1, A192, A201,1
A12,18,A33,A41,1500,A62,A75,3,A92,A102,4,A124,40,A144,A153,2,A174,2,A192,A202,1
A11,18,A33,A42,1700,A63,A75,3,A92,A102,5,A124,42,A144,A153,2,A174,2,A192,A202,1
A12,24,A34,A41,2000,A62,A75,4,A93,A103,4,A125,45,A145,A154,3,A175,3,A193,A203,1
A12,24,A34,A42,2200,A63,A76,4,A93,A103,6,A125,50,A145,A154,3,A175,3,A193,A203,1
A13,30,A35,A43,2500,A64,A76,5,A94,A104,6,A126,55,A146,A155,4,A176,4,A194,A204,1
A12,60,A33,A42,7000,A62,A72,4,A91,A102,3,A122,35,A142,A151,2,A172,2,A191,A202,1
A11,60,A31,A41,8000,A63,A71,2,A93,A103,4,A121,36,A141,A153,3,A171,3,A193,A203,1
A13,36,A32,A43,5000,A61,A73,5,A92,A101,1,A123,32,A143,A152,1,A173,1,A192,A201,1
A11,48,A33,A42,6500,A62,A73,3,A91,A101,2,A122,33,A142,A151,2,A173,2,A191,A201,1
A11,52,A32,A43,7500,A63,A72,4,A93,A103,3,A123,34,A143,A153,3,A172,3,A193,A203,1
