Estatus,Duration,Chistory,Purpose,Ncredit,Saccount,EmploySince,Insrate,Pstatus,Odebtors,ResidenceSince,Property,Age,Insplans,House,NTBcredit,Job,NMpeople,Telephone,Fworker,credits
A11,36, A31, A43,2000, A61, A74,4, A93, A103,4, A123,26, A141, A151,1, A172,1, A191, A201,1
A11,24, A31, A43,1546, A61, A74,6, A93, A103,6, A123,24, A141, A151,2, A172,1, A191, A201,1
A11,24, A31, A43,1546, A61, A74,4, A93, A103,4, A123,24, A141, A151,1, A172,2, A191, A201,1
A11,24, A31, A43,1800, A61, A74,4, A93, A103,4, A123,24, A141, A151,1, A172,1, A191, A201,1
A11,24, A31, A43,1546, A61, A74,4, A93, A103,4, A123,24, A141, A151,1, A172,1, A191, A201,1
A11,24,A31,A43,2000,A61,A74,1,A93,A103,4,A123,24,A141,A151,1,A172,1,A191,A201,1
A11,24,A31,A40,5000,A61,A74,2,A93,A101,4,A123,24,A143,A151,1,A172,1,A191,A201,1
A12,36,A32,A43,1546,A65,A73,3,A93,A103,5,A124,37,A141,A153,1,A173,1,A192,A201,1
A12,36,A32,A40,3000,A65,A73,4,A93,A101,5,A124,37,A143,A153,1,A173,1,A192,A201,1
A12,30,A32,A43,10000,A61,A74,2,A93,A103,6,A123,30,A141,A151,0,A172,2,A191,A201,1
A11,12,A32,A40,2000,A61,A74,2,A91,A101,3,A123,36,A143,A152,1,A173,2,A191,A201,1
A11,18,A32,A40,1500,A61,A74,3,A91,A101,5,A123,36,A143,A152,0,A173,1,A191,A201,1
A11,24,A31,A40,1200,A61,A74,2,A91,A101,3,A123,36,A143,A152,1,A174,1,A191,A201,1
A11,12,A32,A41,1300,A61,A74,2,A91,A101,3,A123,36,A143,A152,1,A173,1,A191,A201,1
A11,12,A32,A40,1100,A62,A74,2,A91,A101,3,A123,36,A143,A152,1,A173,1,A191,A201,1
A11,60,A32,A43,8765,A61,A73,3,A92,A101,3,A123,34,A143,A152,1,A174,1,A192,A201,1
A11,36,A32,A40,5432,A61,A74,2,A91,A101,4,A123,36,A143,A153,1,A173,1,A191,A201,1
A11,24,A31,A40,3210,A61,A74,1,A93,A103,4,A123,37,A141,A151,1,A172,1,A192,A201,1
A11,48,A32,A43,6758,A62,A73,3,A92,A101,2,A123,31,A143,A152,1,A173,2,A191,A201,1
A11,24,A32,A43,1546,A63,A74,4,A93,A101,4,A123,24,A141,A151,1,A173,1,A193,A201,1
A11,36,A32,A40,5678,A61,A74,2,A91,A101,3,A123,29,A141,A151,1,A172,1,A191,A201,1
A11,48,A32,A43,8765,A62,A73,3,A92,A102,4,A123,32,A142,A152,1,A173,1,A192,A202,1
A11,60,A32,A41,12890,A63,A72,4,A93,A103,5,A124,35,A143,A153,1,A174,1,A193,A201,1
A11,24,A32,A42,3672,A64,A75,1,A91,A101,6,A123,28,A141,A151,1,A171,1,A191,A201,1
A11,12,A32,A40,1234,A61,A74,3,A92,A102,2,A123,27,A142,A152,1,A173,1,A192,A202,1
