Estatus,Duration,Chistory,Purpose,Ncredit,Saccount,EmploySince,Insrate,Pstatus,Odebtors,ResidenceSince,Property,Age,Insplans,House,NTBcredit,Job,NMpeople,Telephone,Fworker,credits
A12,36,A32,A41,2748,A62,A75,2,A93,A101,5,A124,26,A143,A152,2,A172,2,A192,A202,1
A13,48,A33,A42,5648,A63,A75,2,A93,A101,5,A125,28,A143,A152,2,A172,2,A192,A202,1
A14,60,A34,A44,9548,A64,A75,2,A93,A101,5,A125,30,A143,A152,2,A172,2,A192,A202,1
A12,36,A32,A45,2748,A62,A75,2,A93,A101,5,A123,26,A142,A153,2,A173,2,A192,A202,1
A13,48,A33,A46,5648,A63,A75,2,A94,A102,6,A124,28,A143,A153,2,A174,2,A192,A202,1
A12,12,A33,A40,5432,A61,A75,3,A92,A101,3,A122,40,A143,A152,2,A173,1,A191,A202,1
A12,18,A34,A41,9765,A62,A74,4,A93,A101,2,A123,42,A143,A152,2,A173,1,A192,A202,1
A12,24,A34,A40,7891,A62,A75,2,A92,A102,3,A121,43,A143,A152,2,A173,1,A192,A201,1
A12,30,A32,A42,6357,A64,A73,1,A94,A101,4,A121,38,A143,A153,2,A174,1,A191,A202,1
A12,48,A33,A43,4567,A65,A74,3,A91,A103,2,A124,39,A143,A151,2,A174,1,A192,A201,1
A14,24,A34,A41,1500,A62,A75,3,A92,A102,4,A124,38,A143,A153,1,A174,1,A192,A202,1
A14,20,A34,A42,1600,A62,A75,2,A92,A101,2,A124,45,A142,A152,1,A174,1,A192,A202,1
A13,18,A34,A42,1700,A62,A75,4,A92,A102,3,A124,42,A142,A153,1,A174,1,A191,A202,1
A13,30,A33,A43,1800,A62,A75,2,A92,A101,4,A123,48,A142,A152,2,A173,2,A192,A202,1
A14,16,A33,A44,1900,A62,A75,1,A92,A102,2,A122,50,A143,A152,2,A173,2,A191,A202,1
A11,24,A34,A46,2873,A65,A72,4,A94,A101,4,A121,35,A143,A151,1,A173,2,A191,A202,1
A12,30,A34,A43,3071,A62,A73,2,A93,A101,3,A122,32,A143,A153,1,A173,1,A191,A201,1
A12,36,A33,A40,3895,A63,A72,3,A93,A102,4,A122,33,A142,A152,1,A174,1,A192,A202,1
A11,42,A32,A41,4219,A61,A74,4,A93,A101,4,A123,37,A141,A151,2,A173,1,A191,A202,1
A14,33,A32,A42,2071,A66,A71,2,A93,A101,3,A121,33,A143,A152,1,A173,1,A191,A202,1
A12,24,A32,A42,3234,A65,A72,4,A94,A101,5,A121,27,A143,A153,2,A172,2,A191,A201,1
A13,32,A32,A42,4234,A65,A73,3,A94,A101,5,A123,30,A143,A153,2,A172,2,A191,A202,1
A14,35,A34,A42,5000,A65,A75,2,A94,A101,6,A124,34,A143,A153,3,A173,2,A191,A203,1
A14,40,A35,A42,6000,A65,A75,1,A94,A101,6,A124,38,A143,A153,4,A173,2,A191,A203,1
A14,45,A35,A44,7000,A65,A75,1,A94,A102,6,A124,40,A143,A152,4,A174,2,A191,A203,1
