Estatus,Duration,Chistory,Purpose,Ncredit,Saccount,EmploySince,Insrate,Pstatus,Odebtors,ResidenceSince,Property,Age,Insplans,House,NTBcredit,Job,NMpeople,Telephone,Fworker,credits
A2,16,A30,A42,1074,A62,A76,1,A92,A103,0,A121,44,A141,A151,0,A171,2,A193,A202,1
A1,10,A31,A41,1586,A63,A71,0,A93,A102,1,A122,34,A142,A153,0,A172,0,A192,A201,1
A2,16,A30,A42,1403,A61,A76,1,A92,A103,0,A121,52,A141,A151,0,A171,2,A193,A202,1
A1,12,A32,A40,1402,A62,A75,1,A93,A101,1,A122,40,A143,A152,0,A172,0,A191,A202,1
A1,10,A31,A43,1525,A61,A72,0,A93,A103,1,A121,32,A142,A151,0,A171,0,A193,A203,1
A11,66,A32,A43,3234,A61,A72,4,A92,A101,4,A121,34,A143,A151,1,A172,1,A192,A201,1
A11,24,A32,A42,2500,A61,A72,4,A92,A101,4,A121,23,A143,A151,1,A171,1,A192,A201,1
A11,24,A32,A42,3234,A61,A72,4,A92,A101,4,A121,23,A142,A151,1,A171,1,A192,A201,1
A11,24,A32,A42,3234,A61,A72,4,A92,A101,4,A121,23,A143,A152,1,A171,1,A192,A201,1
A11,24,A32,A42,3234,A61,A72,4,A92,A101,4,A121,23,A143,A151,1,A171,1,A191,A201,1
