Estatus,Duration,Chistory,Purpose,Ncredit,Saccount,EmploySince,Insrate,Pstatus,Odebtors,ResidenceSince,Property,Age,Insplans,House,NTBcredit,Job,NMpeople,Telephone,Fworker,credits
A12,48,A32,A40,15000,A65,A73,1,A93,A101,5,A124,40,A143,A153,1,A173,2,A192,A201,1
A12,42,A32,A40,10000,A65,A73,0,A93, A101,5,A124,35,A143,A153,0,A173,1,A192,A201,1
A12,30,A32,A40,18000,A65,A74,1,A93, A101,6,A124,38,A143,A153,1,A173,1,A192,A201,1
A11,36,A32,A40,11000,A65,A73,1,A92, A101,4,A124,37,A143,A153,1,A173,1,A192,A201,1
A12,36,A32,A41,12389,A65,A73,1,A93, A101,4,A124,37,A143,A153,1,A173,1,A192,A201,1
A12,24,A33,A41,1500,A62,A76,3,A92,A102,4,A124,38,A144,A153,2,A174,2,A192,A202,1
A11,18,A31,A39,1200,A60,A72,1,A90,A100,2,A122,34,A142,A151,0,A172,0,A190,A200,1
A10,10,A30,A38,1000,A59,A70,1,A89,A99,1,A121,32,A141,A150,0,A171,0,A189,A199,1
A13,15,A34,A42,1400,A63,A75,2,A93,A103,3,A125,37,A145,A154,1,A175,1,A193,A203,1
A14,20,A35,A43,1600,A64,A77,3,A94,A104,4,A126,39,A146,A155,1,A176,1,A194,A204,1
A11,60,A32,A43,7000,A61,A73,4,A92,B101,3,A123,32,A143,A152,0,A173,2,A192,A201,1
A11,42,A32,A43,8000,A61,A73,3,A92,A101,4,A123,30,A143,A152,0,A173,1,A192,A201,1
A11,50,A32,B43,7500,A61,A73,2,A92,A101,3,A123,31,A143,B152,1,A173,1,A192,B201,1
A11,45,A32,A43,7200,A61,B73,3,A92,A101,2,A123,31,A143,A152,0,A173,1,A192,A201,1
A11,46,B32,A43,7000,A61,A73,3,B92,A101,2,A123,30,A143,A152,1,A173,2,A192,A201,1
A12,36,A33,A43,5000,A62,A73,5,A93,A102,5,A122,25,A144,A152,2,A173,2,A193,A202,1
A13,30,A31,A41,4000,A63,A71,3,A91,A103,3,A123,24,A142,A153,0,A171,0,A191,A203,1
A14,28,A34,A44,3500,A64,A74,6,A94,A104,6,A124,26,A145,A154,3,A174,3,A194,A204,1
A15,32,A35,A45,3000,A65,A75,7,A95,A105,7,A125,27,A146,A155,4,A175,4,A195,A205,1
A16,26,A36,A46,2500,A66,A76,8,A96,A106,8,A126,28,A147,A156,5,A176,5,A196,A206,1
