Estatus,Duration,Chistory,Purpose,Ncredit,Saccount,EmploySince,Insrate,Pstatus,Odebtors,ResidenceSince,Property,Age,Insplans,House,NTBcredit,Job,NMpeople,Telephone,Fworker,credits
A12,48,A32,A40,6560,A62,A74,3,A93,A101,2,A122,24,A143,A152,1,A174,1,A191,A201,1
A12,48,A32,A40,6560,A62,A74,3,A93,A101,2,A122,24,A143,A152,1,A174,1,A191,A201,1
A12,48,A32,A40,6560,A62,A74,3,A93,A101,2,A122,24,A143,A152,1,A174,1,A191,A201,1
A12,48,A32,A40,6560,A62,A74,3,A93,A101,2,A122,24,A143,A152,1,A174,1,A191,A201,1
A12,48,A32,A40,6560,A62,A74,3,A93,A101,2,A122,24,A143,A152,1,A174,1,A191,A201,1
A12,12,A34,A42,2969,A61,A72,4,A92,A101,3,A122,25,A143,A151,2,A173,1,A192,A201,1
A12,12,A34,A42,2969,A61,A72,4,A92,A101,3,A122,50,A143,A151,2,A173,1,A191,A201,1
A12,12,A34,A42,2969,A61,A72,4,A92,A101,3,A122,25,A143,A151,2,A173,1,A192,A201,1
A12,12,A34,A42,2969,A61,A72,4,A92,A101,3,A122,50,A143,A151,2,A173,1,A191,A201,1
A12,12,A34,A42,2969,A61,A72,4,A92,A101,3,A122,25,A143,A151,2,A173,1,A192,A201,1
A12,12,A34,A42,2969,A61,A72,4,A92,A101,3,A122,50,A143,A151,2,A173,1,A191,A201,1
A12,12,A34,A42,2969,A61,A72,4,A92,A101,3,A122,25,A143,A151,2,A173,1,A192,A201,1
A12,12,A34,A42,2969,A61,A72,4,A92,A101,3,A122,50,A143,A151,2,A173,1,A191,A201,1
A12,12,A34,A42,2969,A61,A72,4,A92,A101,3,A122,25,A143,A151,2,A173,1,A192,A201,1
A12,12,A34,A42,2969,A61,A72,4,A92,A101,3,A122,50,A143,A151,2,A173,1,A191,A201,1
A13,9,A34,A43,1337,A61,A72,4,A93,A101,4,A123,34,A143,A152,2,A174,1,A192,A201,1
A13,9,A34,A43,1337,A61,A72,4,A93,A101,4,A123,34,A143,A152,2,A174,1,A192,A201,1
A13,9,A34,A43,1337,A61,A72,4,A93,A101,4,A123,34,A143,A152,2,A174,1,A192,A201,1
A13,9,A34,A43,1337,A61,A72,4,A93,A101,4,A123,34,A143,A152,2,A174,1,A192,A201,1
A13,9,A34,A43,1337,A61,A72,4,A93,A101,4,A123,34,A143,A152,2,A174,1,A192,A201,1
A12,12,A32,A40,6078,A62,A74,3,A93,A101,2,A122,24,A143,A152,1,A173,1,A191,A201,1
A12,6,A33,A42,1050,A61,A71,4,A93,A101,1,A122,35,A142,A152,2,A174,1,A192,A201,1
A12,6,A32,A43,2063,A61,A72,4,A94,A101,3,A123,30,A143,A151,1,A174,1,A192,A201,1
A14,24,A32,A43,1278,A61,A74,4,A93,A101,1,A121,36,A143,A152,1,A174,1,A192,A201,1
A11,12,A32,A42,1858,A61,A72,4,A92,A101,1,A123,22,A143,A151,1,A173,1,A191,A201,1
A13,12,A31,A43,409,A64,A73,3,A92,A101,3,A121,42,A143,A151,2,A173,1,A191,A201,1
A11,12,A32,A42,2578,A61,A71,3,A92,A101,4,A124,55,A143,A153,1,A174,1,A191,A201,1
A11,12,A32,A42,652,A61,A75,4,A92,A101,4,A122,24,A143,A151,1,A173,1,A191,A201,1
A12,48,A32,A40,6560,A62,A74,3,A93,A101,3,A124,32,A143,A151,1,A173,1,A192,A201,1
A12,48,A32,A40,6560,A62,A71,2,A93,A101,4,A124,31,A143,A153,1,A174,1,A192,A201,1
A12,12,A32,A40,6078,A61,A74,2,A93,A101,2,A123,32,A143,A152,1,A173,1,A191,A201,1
A12,36,A32,A46,2273,A61,A74,3,A93,A101,1,A123,32,A143,A152,2,A173,2,A191,A201,1
A11,48,A32,A41,4788,A61,A74,4,A93,A101,3,A122,26,A143,A152,1,A173,2,A191,A201,1
A12,6,A33,A42,1050,A61,A71,4,A93,A101,1,A122,35,A142,A152,2,A174,1,A192,A201,1
A12,6,A32,A43,2063,A61,A72,4,A92,A101,3,A122,25,A143,A151,1,A174,1,A192,A201,1
A14,24,A32,A43,1278,A61,A75,4,A93,A101,1,A121,36,A143,A152,1,A174,1,A192,A201,1
A12,12,A30,A42,2969,A61,A73,2,A92,A101,1,A123,28,A143,A152,2,A173,1,A191,A201,1
A12,36,A33,A40,2862,A62,A75,4,A93,A101,3,A122,25,A143,A151,1,A173,1,A191,A201,1
A11,12,A32,A42,652,A61,A75,4,A92,A101,3,A122,25,A143,A151,1,A173,1,A191,A201,1
A14,60,A32,A43,10144,A62,A74,2,A92,A101,4,A121,21,A143,A152,1,A173,1,A192,A201,1
A12,39,A33,A46,11760,A62,A74,2,A93,A101,3,A124,32,A143,A151,1,A173,1,A192,A201,1
A12,12,A32,A40,6078,A61,A74,2,A93,A101,2,A123,32,A143,A152,1,A173,1,A191,A201,1
A12,36,A32,A46,2273,A61,A74,3,A93,A101,1,A123,32,A143,A152,2,A173,2,A191,A201,1
A11,48,A32,A41,4788,A61,A74,4,A93,A101,3,A122,26,A143,A152,1,A173,2,A191,A201,1
A12,6,A32,A43,2063,A61,A72,4,A94,A101,4,A124,35,A143,A151,1,A174,1,A192,A201,1
A14,24,A32,A43,1278,A61,A75,4,A93,A101,1,A121,36,A143,A152,1,A174,1,A192,A201,1
A12,36,A33,A40,2862,A62,A75,4,A93,A101,4,A124,35,A143,A153,1,A173,1,A191,A201,1
A14,60,A32,A43,10144,A62,A74,2,A92,A101,4,A121,21,A143,A152,1,A173,1,A192,A201,1
A12,39,A33,A46,11760,A62,A74,2,A93,A101,4,A124,35,A143,A153,1,A173,1,A192,A201,1
A12,48,A33,A410,7582,A62,A71,2,A93,A101,4,A124,35,A143,A153,1,A174,1,A192,A201,1
A12,36,A32,A46,2273,A61,A74,3,A93,A101,2,A123,32,A143,A152,2,A173,2,A191,A201,1
A12,60,A32,A40,14027,A61,A74,4,A93,A101,3,A122,27,A143,A152,1,A173,2,A191,A201,1
A12,6,A33,A42,1050,A61,A71,4,A93,A101,1,A122,35,A142,A152,1,A174,1,A192,A201,1
A12,6,A32,A43,2063,A61,A72,4,A94,A101,3,A123,30,A143,A151,1,A174,1,A192,A201,1
A14,24,A32,A43,1278,A61,A74,4,A93,A101,1,A121,36,A143,A152,1,A174,1,A192,A201,1
A11,12,A32,A42,1858,A61,A72,4,A92,A101,1,A123,22,A143,A151,1,A173,1,A191,A201,1
A13,12,A31,A43,409,A64,A73,3,A92,A101,3,A121,42,A143,A151,2,A173,1,A191,A201,1
A11,12,A32,A42,2578,A61,A71,3,A92,A101,4,A124,55,A143,A153,1,A174,1,A192,A201,1
A11,12,A32,A42,652,A61,A75,4,A92,A101,4,A122,24,A143,A151,1,A173,1,A191,A201,1
A12,12,A32,A40,6078,A61,A74,2,A93,A101,2,A123,34,A143,A152,1,A173,1,A191,A201,1
A12,36,A32,A46,2273,A61,A74,3,A93,A101,2,A123,34,A143,A152,2,A173,2,A191,A201,1
A11,48,A32,A41,4788,A61,A74,4,A93,A101,3,A122,26,A143,A152,1,A173,2,A191,A201,1
A12,6,A33,A42,1050,A61,A72,4,A93,A101,1,A122,35,A142,A152,2,A174,1,A192,A201,1
A12,6,A32,A43,2063,A61,A72,4,A93,A101,3,A123,30,A143,A151,2,A174,1,A192,A201,1
