Estatus,Duration,Chistory,Purpose,Ncredit,Saccount,EmploySince,Insrate,Pstatus,Odebtors,ResidenceSince,Property,Age,Insplans,House,NTBcredit,Job,NMpeople,Telephone,Fworker,credits
A11,24,A34,A43,1546,A61,A74,4,A93,A103,4,A123,24,A141,A151,1,A172,1,A192,A201,1
A11,24,A34,A43,1546,A61,A74,4,A93,A103,4,A123,24,A141,A151,1,A172,1,A191,A201,1
A11,24,A34,A43,1546,A61,A74,4,A93,A103,4,A123,24,A141,A151,1,A172,1,A191,A201,1
A11,24,A34,A43,1546,A61,A74,4,A93,A103,4,A123,24,A141,A151,1,A172,1,A192,A201,1
A11,24,A34,A43,1546,A61,A74,4,A93,A103,4,A123,24,A141,A151,1,A172,1,A191,A201,1
A11,24,A34,A43,1546,A61,A74,4,A93,A103,4,A123,24,A141,A151,1,A172,1,A191,A201,1
A11,24,A34,A43,1546,A61,A74,4,A93,A103,4,A123,24,A141,A151,1,A172,1,A192,A201,1
A11,24,A34,A43,1546,A61,A74,4,A93,A103,4,A123,24,A141,A151,1,A172,1,A191,A201,1
A11,24,A34,A43,1546,A61,A74,4,A93,A103,4,A123,24,A141,A151,1,A172,1,A191,A201,1
A11,24,A34,A43,1546,A61,A74,4,A93,A103,4,A123,24,A141,A151,1,A172,1,A192,A201,1
A11,24,A34,A43,1546,A61,A74,4,A93,A103,4,A123,24,A141,A151,1,A172,1,A191,A201,1
A11,24,A34,A43,1546,A61,A74,4,A93,A103,4,A123,24,A141,A151,1,A172,1,A191,A201,1
A11,24,A34,A43,1546,A61,A74,4,A93,A103,4,A123,24,A141,A151,1,A172,1,A192,A201,1
A11,24,A34,A43,1546,A61,A74,4,A93,A103,4,A123,24,A141,A151,1,A172,1,A191,A201,1
A11,24,A34,A43,1546,A61,A74,4,A93,A103,4,A123,24,A141,A151,1,A172,1,A191,A201,1
A14,12,A32,A40,1372,A61,A74,2,A91,A101,3,A123,36,A143,A152,1,A173,1,A192,A201,1
A11,12,A32,A40,1372,A61,A74,2,A91,A101,3,A123,36,A142,A152,1,A173,1,A191,A201,1
A14,12,A32,A40,1372,A61,A74,2,A93,A101,3,A123,36,A143,A152,1,A173,1,A192,A201,1
A14,12,A32,A40,1372,A61,A74,2,A91,A101,3,A123,36,A143,A152,1,A173,1,A192,A201,1
A11,12,A32,A40,1372,A61,A74,2,A91,A101,3,A123,36,A142,A152,1,A173,1,A191,A201,1
