Estatus,Duration,Chistory,Purpose,Ncredit,Saccount,EmploySince,Insrate,Pstatus,Odebtors,ResidenceSince,Property,Age,Insplans,House,NTBcredit,Job,NMpeople,Telephone,Fworker,credits
A12,48.0,A31,A49,1424.0,A62,A74,4.0,A93,A101,2.0,A122,26.0,A143,A152,1.0,A173,1.0,A191,A201,1
A11,6.0,A32,A40,1203.0,A62,A75,3.0,A93,A101,2.0,A122,43.0,A143,A152,1.0,A173,1.0,A192,A201,1
A14,15.0,A32,A40,3556.0,A65,A73,3.0,A93,A101,2.0,A124,29.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,48.0,A31,A49,3566.0,A62,A74,4.0,A93,A101,2.0,A123,30.0,A143,A152,1.0,A173,1.0,A191,A201,1
A14,12.0,A32,A41,1413.0,A64,A74,3.0,A93,A101,2.0,A122,55.0,A143,A152,1.0,A173,1.0,A191,A202,1
A12,24.0,A32,A40,1203.0,A62,A73,3.0,A93,A101,1.0,A122,19.0,A143,A152,1.0,A173,1.0,A192,A201,1
A12,12.0,A32,A40,6078.0,A61,A74,2.0,A93,A101,2.0,A123,32.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,48.0,A32,A40,8487.0,A65,A74,1.0,A92,A101,2.0,A123,24.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,36.0,A32,A46,276.0,A61,A73,3.0,A93,A101,2.0,A121,36.0,A142,A152,1.0,A173,1.0,A191,A201,1
A12,4.0,A33,A43,3566.0,A62,A74,4.0,A93,A101,2.0,A122,51.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,15.0,A32,A45,2631.0,A62,A73,3.0,A92,A101,2.0,A121,25.0,A143,A152,1.0,A172,1.0,A191,A201,1
A14,12.0,A32,A43,1262.0,A61,A73,3.0,A93,A101,2.0,A123,25.0,A143,A152,1.0,A173,1.0,A191,A201,1
A11,9.0,A32,A42,2136.0,A61,A73,3.0,A93,A101,2.0,A121,25.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,9.0,A32,A410,1919.0,A61,A74,3.0,A92,A101,2.0,A121,25.0,A143,A152,1.0,A173,1.0,A192,A201,1
A14,9.0,A33,A43,276.0,A61,A74,3.0,A93,A101,2.0,A122,19.0,A143,A152,1.0,A173,1.0,A192,A201,1
A13,4.0,A32,A43,1961.0,A61,A74,3.0,A93,A101,2.0,A121,23.0,A143,A152,1.0,A174,1.0,A191,A201,1
A12,12.0,A32,A43,276.0,A64,A73,3.0,A93,A103,2.0,A121,34.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,7.0,A32,A43,2415.0,A61,A73,3.0,A93,A103,2.0,A121,34.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,30.0,A32,A40,8487.0,A65,A71,2.0,A92,A101,2.0,A123,24.0,A143,A152,1.0,A173,1.0,A191,A201,1
A14,12.0,A32,A43,2141.0,A62,A74,3.0,A93,A101,1.0,A124,35.0,A143,A152,1.0,A173,1.0,A191,A201,1
A11,42.0,A32,A44,1301.0,A61,A71,3.0,A93,A101,2.0,A123,19.0,A143,A152,1.0,A173,1.0,A191,A202,1
A11,36.0,A32,A42,2136.0,A63,A73,3.0,A93,A101,2.0,A121,25.0,A143,A152,1.0,A171,1.0,A191,A201,1
A13,36.0,A32,A40,276.0,A62,A73,3.0,A91,A101,2.0,A122,19.0,A141,A152,1.0,A173,1.0,A192,A202,1
A12,48.0,A32,A40,8487.0,A65,A74,1.0,A92,A101,2.0,A122,36.0,A143,A152,1.0,A173,1.0,A192,A201,1
A12,4.0,A34,A40,1107.0,A62,A75,3.0,A93,A101,1.0,A122,43.0,A143,A152,1.0,A173,1.0,A192,A201,1
A11,24.0,A32,A44,1301.0,A65,A75,3.0,A93,A101,2.0,A123,19.0,A143,A152,1.0,A173,1.0,A191,A202,1
A13,18.0,A32,A40,1961.0,A61,A75,3.0,A92,A101,2.0,A123,23.0,A143,A152,1.0,A174,1.0,A191,A201,1
A14,30.0,A34,A43,5954.0,A61,A74,3.0,A93,A102,2.0,A123,38.0,A143,A152,1.0,A173,1.0,A191,A201,1
A14,12.0,A32,A42,1768.0,A61,A73,3.0,A93,A101,2.0,A121,24.0,A143,A151,1.0,A172,1.0,A191,A201,1
A12,15.0,A33,A44,276.0,A61,A74,3.0,A94,A102,2.0,A121,19.0,A143,A152,1.0,A173,1.0,A191,A201,1
A14,18.0,A32,A43,4594.0,A61,A72,3.0,A93,A101,2.0,A123,32.0,A143,A152,1.0,A173,1.0,A192,A201,1
A12,12.0,A34,A40,2511.0,A61,A72,3.0,A92,A101,2.0,A121,19.0,A143,A152,1.0,A173,1.0,A192,A201,1
A14,12.0,A34,A42,1592.0,A64,A74,3.0,A92,A101,2.0,A122,35.0,A143,A152,1.0,A173,1.0,A191,A202,1
A12,4.0,A32,A40,276.0,A62,A72,1.0,A93,A101,2.0,A121,19.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,36.0,A32,A40,276.0,A65,A74,3.0,A93,A101,3.0,A122,28.0,A141,A152,1.0,A171,1.0,A192,A201,1
A14,36.0,A32,A49,7409.0,A65,A75,3.0,A93,A101,2.0,A122,37.0,A143,A152,2.0,A173,1.0,A191,A201,1
A11,24.0,A32,A40,5152.0,A61,A73,4.0,A93,A101,2.0,A121,25.0,A143,A152,1.0,A173,1.0,A191,A201,1
A11,21.0,A32,A40,276.0,A65,A74,2.0,A93,A102,2.0,A121,19.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,18.0,A32,A40,6260.0,A61,A74,3.0,A93,A101,3.0,A121,28.0,A143,A151,1.0,A172,1.0,A191,A201,1
A12,15.0,A32,A45,1514.0,A62,A73,4.0,A93,A103,2.0,A121,22.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,12.0,A32,A49,4169.0,A61,A73,4.0,A93,A101,2.0,A123,28.0,A143,A152,1.0,A173,1.0,A191,A201,1
A14,15.0,A32,A41,3029.0,A61,A74,2.0,A93,A101,2.0,A123,33.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,12.0,A32,A41,2028.0,A65,A73,4.0,A93,A101,2.0,A123,30.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,10.0,A32,A40,1549.0,A65,A72,4.0,A93,A101,2.0,A121,19.0,A143,A151,1.0,A173,1.0,A191,A201,1
