Estatus,Duration,Chistory,Purpose,Ncredit,Saccount,EmploySince,Insrate,Pstatus,Odebtors,ResidenceSince,Property,Age,Insplans,House,NTBcredit,Job,NMpeople,Telephone,Fworker,credits
A12,48,A32,A41,6560,A62,A72,3,A93,A101,2,A122,24,A143,A152,1,A173,1,A191,A201,1
A12,48,A34,A40,6560,A62,A74,3,A93,A101,2,A122,24,A143,A152,1,A173,2.0,A191,A201,1
A12,53.0,A32,A40,6560,A65,A74,3,A93,A101,2,A122,24,A143,A152,1,A173,1,A191,A201,1
A12,48,A32,A40,6560,A62,A74,3,A93,A101,2,A121,24,A143,A152,1,A173,2.0,A191,A201,1
A12,34.0,A32,A43,6560,A62,A74,3,A93,A101,2,A122,24,A143,A152,1,A173,1,A191,A201,1
A12,48,A32,A45,6560,A62,A74,3,A93,A103,2,A122,24,A143,A152,1,A173,1,A191,A201,1
A12,48,A32,A49,6560,A62,A74,3,A93,A101,2,A122,24,A143,A152,1,A174,1,A191,A201,1
A12,4.0,A32,A40,6560,A64,A74,3,A93,A101,2,A122,24,A143,A152,1,A173,1,A191,A201,1
A12,48,A32,A40,6560,A62,A72,3,A93,A101,2,A122,23.0,A143,A152,1,A173,1,A191,A201,1
A12,48,A32,A40,6560,A62,A72,1.0,A93,A101,2,A122,24,A143,A152,1,A173,1,A191,A201,1
A12,48,A32,A40,6560,A62,A74,3,A93,A101,2,A122,24,A143,A152,4.0,A173,1,A192,A201,1
A12,48,A32,A40,10436.0,A61,A74,3,A93,A101,2,A122,24,A143,A152,1,A173,1,A191,A201,1
A12,48,A33,A40,6560,A62,A74,3,A93,A101,1.0,A122,24,A143,A152,1,A173,1,A191,A201,1
A12,48,A32,A48,6560,A62,A74,3,A93,A101,2,A122,24,A143,A152,1,A173,1,A191,A201,1
A12,48,A33,A40,6560,A62,A74,3,A93,A101,2,A122,24,A143,A152,1,A173,1,A192,A201,1
A12,48,A34,A40,6560,A65,A74,3,A93,A101,2,A122,24,A143,A152,1,A173,1,A191,A201,1
A12,48,A32,A49,6560,A64,A74,3,A93,A101,2,A122,24,A143,A152,1,A173,1,A191,A201,1
A12,48,A32,A40,6560,A62,A74,3,A93,A101,2,A121,24,A143,A152,1,A173,1,A192,A201,1
A12,48,A32,A40,6560,A62,A72,3,A93,A102,2,A122,24,A143,A152,1,A173,1,A191,A201,1
A12,48,A33,A40,6560,A62,A74,3,A93,A101,2,A122,24,A143,A152,1,A172,1,A191,A201,1
A12,48,A32,A40,6560,A62,A74,3,A93,A103,2,A122,24,A143,A152,1,A174,1,A191,A201,1
A12,48,A32,A410,6560,A62,A74,3,A93,A101,2,A122,24,A143,A152,1,A173,1,A191,A201,1
A12,48,A32,A40,6560,A63,A74,4.0,A93,A101,2,A122,24,A143,A152,1,A173,1,A191,A201,1
A12,48,A32,A48,6560,A62,A74,3,A93,A101,4.0,A122,24,A143,A152,1,A173,1,A191,A201,1
A12,37.0,A33,A40,6560,A62,A74,3,A93,A101,2,A122,24,A143,A152,1,A173,1,A191,A201,1
A12,48,A32,A40,6560,A65,A74,3,A91,A101,2,A122,24,A143,A152,1,A173,1,A191,A201,1
A12,48,A32,A42,6560,A62,A72,3,A93,A101,2,A122,24,A143,A152,1,A173,1,A191,A201,1
A12,48,A32,A40,6560,A64,A74,3,A93,A103,2,A122,24,A143,A152,1,A173,1,A191,A201,1
A12,48,A32,A40,6560,A62,A74,3,A93,A101,2,A123,24,A143,A152,1,A173,2.0,A191,A201,1
A12,48,A33,A40,6560,A62,A74,3,A92,A101,2,A122,24,A143,A152,1,A173,1,A191,A201,1
A14,48,A32,A40,9988.0,A62,A74,3,A93,A101,2,A122,24,A143,A152,1,A173,1,A191,A201,1
A12,48,A32,A40,6560,A65,A74,3,A93,A101,2,A122,24,A143,A152,1,A171,1,A191,A201,1
A12,48,A32,A46,6560,A61,A74,3,A93,A101,2,A122,24,A143,A152,1,A173,1,A191,A201,1
A12,48,A32,A40,6560,A62,A74,3,A93,A101,2,A122,24,A143,A152,3.0,A173,1,A192,A201,1
A12,34.0,A32,A40,6560,A62,A74,3,A93,A103,2,A122,24,A143,A152,1,A173,1,A191,A201,1
A12,48,A32,A40,6560,A61,A74,3,A93,A101,1.0,A122,24,A143,A152,1,A173,1,A191,A201,1
A12,48,A32,A40,6560,A62,A74,3,A93,A101,2,A122,24,A143,A152,1,A173,1,A192,A201,1
A12,48,A32,A49,6560,A62,A74,3,A93,A101,2,A122,24,A143,A152,1,A171,1,A191,A201,1
A12,48,A32,A40,6560,A62,A74,3,A93,A101,4.0,A123,24,A143,A152,1,A173,1,A191,A201,1
A12,48,A32,A40,6560,A62,A72,3,A93,A101,2,A122,24,A143,A152,1,A173,1,A191,A201,1
A12,48,A32,A48,6560,A62,A72,3,A93,A101,2,A122,24,A143,A152,1,A173,1,A191,A201,1
A12,48,A34,A40,6560,A62,A74,3,A93,A102,2,A122,24,A143,A152,1,A173,1,A191,A201,1
A12,48,A32,A44,6560,A62,A74,3,A93,A101,2,A122,24,A143,A152,1,A173,1,A191,A201,1
A14,48,A32,A40,6560,A62,A74,3,A91,A101,2,A122,24,A143,A152,1,A173,1,A191,A201,1
A14,48,A32,A40,6560,A62,A74,3,A93,A101,2,A122,24,A143,A152,1,A174,1,A191,A201,1
A12,48,A32,A40,6560,A64,A74,3,A93,A101,2,A122,24,A143,A152,3.0,A173,1,A191,A201,1
A12,48,A32,A49,6560,A62,A74,3,A93,A101,2,A121,24,A143,A152,1,A173,1,A191,A201,1
A12,48,A32,A40,6560,A62,A74,3,A93,A103,2,A122,24,A143,A153,1,A173,1,A191,A201,1
A13,48,A32,A40,6560,A62,A74,3,A93,A101,2,A122,24,A143,A152,1,A173,2.0,A191,A201,1
A12,48,A32,A40,6560,A64,A74,3,A94,A101,2,A122,24,A143,A152,1,A173,1,A191,A201,1
