V1,V2,V3,V4,V5,class
1.308534,-0.113718,0.440216,-0.763577,0.299809,1
1.258534,-0.163718,0.390216,-0.763577,0.249809,1
1.158534,-0.263718,0.345216,-0.813577,0.229809,1
1.208534,-0.213718,0.440216,-0.913577,0.199809,1
1.208534,-0.113718,0.240216,-0.863577,0.249809,1
0.6,-0.2,-0.8,-0.2,0.2,1
0.5,-0.1,-0.9,-0.3,0.3,1
0.4,-0.4,-1,-0.4,0,1
0.3,-0.5,-0.9,-0.5,0.1,1
0.45,-0.35,-0.7,-0.3,0.4,1
0.015942,-0.203354,0.99797,1.721006,2.09029,1
-0.384058,0.096646,0.79797,1.621006,1.89029,1
-0.584058,-0.403354,1.09797,1.521006,2.19029,1
-0.584058,-0.603354,0.99797,1.821006,1.89029,1
-0.784058,-0.603354,0.79797,1.521006,2.29029,1
0.235056,0.612842,0.719801,0.315144,0.460319,1
-0.564944,-0.387158,0.719801,0.315144,-0.539681,1
-0.564944,0.612842,-0.280199,0.315144,-0.539681,1
-0.564944,0.612842,0.719801,-0.684856,-0.539681,1
-0.564944,0.612842,0.719801,0.315144,0.460319,1
0.293809,-0.08191,1.196696,0.451891,-0.518014,1
0.143809,-0.23191,1.046696,0.301891,-0.718014,1
0.193809,-0.03191,1.296696,0.251891,-0.618014,1
0.243809,-0.28191,1.096696,0.501891,-0.418014,1
0.093809,-0.13191,1.146696,0.351891,-0.818014,1
