V1,V2,V3,V4,V5,class
2.108534,0.786282,1.340216,0.136423,1.199809,1
1.208534,0.213718,0.340216,0.863577,0.199809,1
1.208534,-0.213718,0.340216,0.863577,0.199809,1
1.208534,-0.213718,0.340216,-0.863577,0.199809,1
1.208534,-0.213718,0.340216,-0.863577,-0.199809,1
0.905611,-0.590414,-0.988726,-0.67758,0.643311,1
0.843132,-0.412345,-0.675432,-0.856422,0.590612,1
0.764837,-0.231934,-0.461265,-0.053215,0.432613,1
0.658729,-0.045625,-0.244718,0.365482,0.277414,1
0.526198,0.141123,-0.027945,0.784561,0.116543,1
-0.695678,-0.30802,0.456123,0.932655,0.654321,1
-0.523148,-0.412655,0.578912,1.123456,1.678901,1
-0.476312,-0.320654,0.623456,1.032165,1.546789,1
-0.432165,-0.298765,0.56789,1.065432,1.654321,1
-0.498765,-0.356789,0.612345,1.098765,1.765432,1
0.123456,-0.234567,-0.678901,0.456789,0.345678,1
0.113456,-0.224567,-0.688901,0.446789,0.335678,1
0.103456,-0.254567,-0.618901,0.476789,0.355678,1
0.093456,-0.264567,-0.628901,0.486789,0.325678,1
0.083456,-0.284567,-0.638901,0.496789,0.305678,1
-0.843579,0.456789,-0.298765,-0.12783,0.93261,1
-0.678901,-0.123456,0.876543,1.234567,-0.654321,1
0.321654,-0.987654,-0.432109,0.764321,1.098765,1
1.234567,0.432109,-0.764321,-1.098765,-0.654321,1
0.876543,-0.93261,-0.12783,0.298765,-0.456789,1
