V1,V2,V3,V4,V5,class
-0.11174,0.114558,0.337703,0.867003,0.197406,1
3.158188,-0.216397,-1.236678,-0.863417,0.201358,1
-0.063394,-0.017243,0.260718,0.867057,0.199997,1
2.111662,-0.210655,1.312093,-0.862758,0.201772,1
3.173761,-0.211802,0.35331,-0.86321,0.198424,1
0.175291,0.223921,-0.369003,-0.156888,-0.008956,1
-0.394243,0.213789,-0.391868,-0.312189,0.203281,1
0.386168,0.23822,-0.327527,-0.114286,-0.006359,1
0.304888,-0.206689,-0.724185,-0.328763,0.042006,1
-0.414768,0.367305,-0.330967,-0.342083,-0.05513,1
-0.584058,-0.603354,0.79797,1.521006,1.89029,1
-0.584058,-0.603354,0.79797,1.521006,1.89029,1
-0.584967,0.62917,0.709453,0.294788,-0.564387,1
-0.599301,0.641639,0.708763,0.270176,-0.588738,1
-0.593174,0.639794,0.744849,0.232298,-0.566779,1
-0.601625,0.650398,0.762547,0.231375,-0.573409,1
-0.591181,0.654468,0.791643,0.205578,-0.585573,1
-1.025875,-0.95414,0.273197,-0.600285,0.461883,1
-0.118752,-0.895453,-0.658738,-0.309964,-0.076971,1
-0.327071,-0.8505,-0.039152,-0.146069,-0.956342,1
0.324296,0.040729,-0.252955,-0.652243,-0.363132,1
