V1,V2,V3,V4,V5,class
1.308534,-0.113718,0.440216,-0.763577,0.299809,1
1.108534,-0.313718,0.440216,-0.763577,0.399809,1
1.208534,-0.113718,0.240216,-0.963577,0.199809,1
1.008534,-0.413718,0.440216,-0.663577,0.099809,1
1.258534,-0.163718,0.390216,-0.713577,0.249809,1
0.67839,0,-0.538467,0,0.116246,1
0.55759,-0.164271,-0.789467,0.339053,0.193744,1
0.88639,0.317082,-0.538467,0.339053,0.275496,1
0.72479,-0.164271,-0.860701,0,0.154992,1
0.49759,0.317082,-0.805367,0.339053,0.193744,1
0.234567,0.345678,0.89797,1.521006,2.09029,1
-0.123456,-0.103354,1.09797,2.021006,1.99029,1
0,0.4,0.99797,1.621006,1.90029,1
-0.3,-0.3,1.29797,2.221006,2.09029,1
0.2,0.003354,0.89797,1.721006,1.99029,1
-0.364944,0.712842,0.619801,-0.015144,-0.239681,1
-0.064944,0.812842,0.819801,0.084856,-0.039681,1
0.035056,0.412842,0.219801,0.615144,-0.339681,1
-0.264944,0.912842,0.919801,0.115144,-0.739681,1
-0.764944,0.312842,0.119801,-0.315144,-0.039681,1
0.398742,0.05809,1.192301,0.458981,-0.409004,1
0.256718,0,1.2993,0.29391,-0.2,1
0.1,0.2,1.1,0.4,-0.45,1
0.22,0.01,1.15,0.36,-0.55,1
0.15,0.1,1.12,0.38,-0.5,1
