Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
1,female,30,1,0,113803,53.1,C123,C,1
2,male,5,3,1,234321,13,NaN,C,1
1,female,40,0,2,113781,151.55,B101,S,1
3,female,22,1,0,3101282,7.925,NaN,Q,1
2,male,35,0,1,248706,13,NaN,S,1
3,male,22,0,0, STON/O2. 3101282,7.925,NaN,C,1
2,male,2,1,1,248738,29,NaN,C,1
3,female,22,0,0,3101295,7.75,NaN,Q,1
2,female,29,0,0,244373,13,NaN,C,1
1,female,29,0,0,PC 17608,131.2667,C22 C26,C,1
3,female,2,1,2,349909,24.15,NaN,C,1
3,female,28,0,0,315090,8.6625,NaN,S,1
2,female,24,1,2,230136,26,NaN,S,1
3,female,30,0,0,349237,17.8,NaN,C,1
2,female,4,1,1,244373,31,NaN,S,1
3,female,2,1,2,349909,24.15,E10,C,1
1,male,26,1,2,113781,151.55,C22 C26,S,1
3,female,22,1,0,315154,8.6625,NaN,S,1
2,female,24,0,0,230080,26,NaN,S,1
3,female,31,1,0,349257,7.8958,NaN,C,1
