Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
33,female,25,0,0,348123,7.65,F G73,S,1
31,male,26,0,0,348123,7.75,F G73,S,1
32,male,25,1,0,348123,8.2,F G73,S,1
30,male,25,0,1,348123,7.7,F G73,S,1
32,male,24,0,0,348123,7.6,F G73,C,1
3, male,28,0,0,348123,8.5, F G73, S,1
1, male,45,1,0, W.E.P. 5734,60, E31, S,1
2, male,30,1,0,348123,15, F G73, S,1
1, male,50,0,1, W.E.P. 5734,70, E31, S,1
3, male,24,0,0,348123,7, F G73, C,1
1, male,45,0,0, PC 17754,34.6542, A5, C,1
1, male,71,1,0, PC 17754,34.6542, A5, C,1
1, male,71,0,1, PC 17754,34.6542, A5, C,1
1, male,71,0,0, PC 17754,54.6542, A5, C,1
1, male,71,0,0, PC 17754,34.6542, A6, C,1
3,male,22,0,0,35281,77.2875,D26,S,1
3,male,21,1,0,35281,77.2875,D26,S,1
3,male,21,0,1,35281,77.2875,D26,S,1
3,male,21,0,0,35281,88.2875,D26,S,1
3,male,21,0,0,35281,77.2875,E26,S,1
1, male,22,0,0,237736,7.25, C85, C,1
1, male,27,0,0,237736,8.05, C123, S,1
1, male,31,1,0,363272,18, E101, S,1
1, male,41,0,0,248738,25, D126, S,1
1, male,51,0,0,248738,29, B58, C,1
