Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
3,female,25,0,0,348123,7.65,Cabin_FG73,S,1
3,male,25,1,0,348123,7.65,Cabin_FG73,S,1
3,male,25,0,1,348123,7.65,Cabin_FG73,S,1
3,male,25,0,0,348123,7.65,Cabin_FG73,C,1
3,male,25,0,0,348123,7.65,Cabin_FG73,Q,1
3,male,46,2,0,W.E.P.5734,61.175,E31,S,1
2,male,46,1,0,W.E.P.5734,61.175,E31,S,1
1,male,46,1,0,W.E.P.5734,61.175,E31,S,1
2,male,46,0,0,W.E.P.5734,61.175,E31,S,1
1,male,46,0,0,W.E.P.5734,61.175,E31,S,1
1,female,71,0,0,A/5.21171,34.6542,A5,N,1
1,male,21,0,0,PC17754,34.6542,A5,S,1
2,male,71,0,0,PC17754,34.6542,A5,C,1
1,male,71,1,0,PC17754,34.6542,A5,C,1
1,male,40,0,0,PC17754,34.6542,A5,C,1
3,male,16,0,1,35281,77.2875,D26,S,1
2,male,21,2,0,35281,77.2875,D26,S,1
1,female,21,0,1,35281,77.2875,D26,S,1
2,male,21,0,2,35281,77.2875,D26,S,1
3,male,21,1,1,35281,77.2875,D26,S,1
3,male,47,0,0,110465,52,B110,S,1
2,male,47,0,1,110465,52,D110,S,1
3,male,37,0,0,110465,52,B110,S,1
2,male,47,1,0,110465,52,D110,S,1
3,male,47,0,0,110465,62,B110,S,1
