Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
1, male,30,1,0,348123,7.65, F G73, C,1
1, male,25,0,1,348123,7.65, F G73, C,1
2, male,25,0,0,348123,10.5, F G73, S,1
1, female,25,0,0,348123,7.65, F G73, C,1
3, male,25,0,0,348123,7.65, B96 B98, C,1
1, male,35,0,0, W.E.P. 5734,61.175, C23, Q,1
1, female,46,1,0, W.E.P. 5734,61.175, E31, S,1
1, male,46,0,0, W.E.P. 5734,100, E31, C,1
1, male,46,0,1, W.E.P. 5734,61.175, E31, S,1
1, male,46,0,0, W.E.P. 5734,61.175, E31, C,1
1, male,30,1,0, PC 17754,34.6542, A5, C,1
1, male,50,0,0, PC 17754,34.6542, B5, S,1
1, female,45,0,0, PC 17754,34.6542, A5, C,1
1, male,65,0,1, PC 17754,34.6542, A5, Q,1
1, male,71,0,0, PC 17755,35, A6, C,1
1, female,30,1,0,35281,77.2875, C26, Q,1
1, male,35,0,0,35281,77.2875, D26, C,1
1, male,21,0,2,35281,77.2875, D26, S,1
1, male,21,0,1,35281,80, D26, S,1
1, male,21,1,1,35281,77.2875, E26, S,1
1, male,35,1,0,110465,52, C110, Q,1
1, female,47,0,0,110465,52, C110, S,1
1, male,47,0,1,110465,52, C110, S,1
1, male,47,0,0,110465,75, C110, S,1
1, male,47,0,0,110465,52, B57 B59 B63 B66, S,1
