Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
3,male,32.0,0.0,0.0,SOTON/O.Q. 392078,8.05,E10,S,1
3,male,18.0,0.0,0.0,113781,79.65,B35,S,1
3,male,0.9,0.0,0.0,392096,0.0,B69,S,1
3,male,0.9,0.0,0.0,392096,304.0,C68,S,1
2,male,26.0,0.0,0.0,11967,26.29,E24,S,1
1,male,23.0,0.0,0.0,113505,0.0,C101,S,1
1,male,28.0,0.0,0.0,110564,26.55,C52,S,1
1,male,21.0,0.0,0.0,13502,0.0,E33,S,1
3,female,24.0,0.0,0.0,PC 17474,86.5,E25,S,1
1,male,24.0,0.0,0.0,11755,116.0,B35,S,1
1,male,24.0,0.0,0.0,PC 17759,117.0,F4,S,1
1,male,21.0,0.0,0.0,13502,77.96,D9,S,1
1,male,17.0,0.0,0.0,PP 9549,0.0,D33,S,1
1,male,35.0,0.0,0.0,111361,0.0,C54,S,1
1,male,35.0,0.0,0.0,PC 17475,26.29,E24,S,1
1,male,36.0,0.0,0.0,PC 17473,26.29,E25,S,1
1,male,36.0,0.0,0.0,PC 17474,26.39,E25,S,1
1,male,38.0,0.0,0.0,PC 17473,0.0,E8,S,1
1,male,42.0,0.0,0.0,PC 17476,26.29,E24,S,1
3,female,0.9,0.0,0.0,111369,0.0,C50,S,1
3,male,0.9,0.0,0.0,17453,0.0,C83,Q,1
3,female,0.9,0.0,0.0,19943,0.0,B22,S,1
1,male,0.9,0.0,0.0,17474,0.0,B79,S,1
1,male,0.9,0.0,0.0,PC 17755,0.0,E8,S,1
2,male,0.9,0.0,0.0,113806,0.0,B50,S,1
1,male,0.9,0.0,0.0,13214,0.0,C50,S,1
3,male,0.9,0.0,0.0,36973,0.0,D36,C,1
3,female,0.9,0.0,0.0,36947,0.0,E77,S,1
3,female,0.9,0.0,0.0,392096,0.0,B41,S,1
1,male,0.9,0.0,0.0,13214,0.0,B42,S,1
3,male,0.9,0.0,0.0,35273,0.0,B42,Q,1
3,female,0.9,0.0,0.0,PC 17755,0.0,B80,S,1
3,female,0.9,0.0,0.0,PP 9549,0.0,D15,S,1
1,male,0.9,0.0,0.0,PC 17757,0.0,D11,S,1
3,female,0.9,0.0,0.0,113806,0.0,B50,S,1
3,female,0.0,0.0,0.0,110152,0.0,D33,S,1
1,male,0.9,0.0,0.0,110813,37.0,B50,S,1
1,male,51.0,0.0,0.0,113055,26.55,E17,S,1
1,male,0.9,0.0,0.0,110564,69.0,E33,S,1
3,female,0.9,0.0,0.0,13567,77.96,C123,S,1
1,male,0.9,0.0,0.0,PC 17756,77.96,C7,S,1
3,female,0.9,0.0,0.0,PC 17572,77.96,B20,S,1
3,female,0.9,0.0,0.0,11967,78.27,D15,S,1
1,male,52.0,0.0,0.0,113786,30.5,C90,S,1
1,male,52.0,0.0,0.0,113786,30.5,C104,S,1
1,male,0.9,0.0,0.0,17474,89.1,D33,S,1
3,female,0.9,0.0,0.0,28551,106.0,C78,S,1
3,female,57.0,0.0,0.0,SOTON/O.Q. 392078,0.0,E101,S,1
3,female,58.0,0.0,0.0,PC 17610,0.0,E38,S,1
1,male,59.0,0.0,0.0,348123,0.0,E24,C,1
