Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
3,male,25.0,1.0,0,PC 17757,7.65,G6,S,1
1,male,25.0,0,0,11813,7.65,D35,S,1
3,female,25.0,0,0,13502,7.65,F G73,S,1
3,male,63.2,0,0,PC 17482,7.65,F2,S,1
3,male,25.0,0,0,113055,7.65,C101,S,1
3,male,25.0,0,4.0,PC 17474,7.65,B69,S,1
3,male,25.0,0,0,PC 17477,7.65,A16,S,1
3,female,25.0,0,3.0,113760,7.65,F G73,S,1
3,female,25.0,0,0,113783,7.65,F G73,C,1
3,male,25.0,0,0,PC 17572,7.65,B79,S,1
3,male,25.0,0,0,PC 17755,7.65,C83,C,1
1,female,25.0,0,0,11769,7.65,F G73,S,1
3,male,25.0,0,0,11813,7.65,D35,S,1
3,female,25.0,0,0,35273,7.65,F G73,Q,1
3,male,25.0,0,0,PC 17474,7.65,C99,S,1
3,male,25.0,0,0,113505,7.65,D7,S,1
3,female,25.0,2.0,0,PC 17477,7.65,F G73,S,1
3,female,25.0,0,0,11769,7.65,F G73,S,1
2,female,25.0,0,0,PP 9549,7.65,F G73,S,1
3,male,25.0,0,0,113055,95.91,C101,S,1
1,female,25.0,0,0,PC 17482,7.65,F G73,S,1
3,female,25.0,0,0,PC 17477,245.04,F G73,S,1
3,male,25.0,0,0,PC 17474,7.65,C99,Q,1
1,male,25.0,0,0,348123,7.65,C126,C,1
3,female,25.0,0,0,PC 17482,482.21,F G73,S,1
3,female,25.0,0,0,27267,7.65,F G73,S,1
2,male,25.0,0,0,36973,7.65,D9,S,1
1,female,25.0,0,0,112053,7.65,F G73,S,1
3,female,23.6,0,0,113806,7.65,F G73,S,1
3,male,25.0,0,0,16966,7.65,E10,S,1
3,female,25.0,3.0,0,PC 17475,7.65,F G73,S,1
3,female,25.0,0,3.0,16966,7.65,F G73,S,1
2,female,25.0,0,0,PC 17473,7.65,F G73,S,1
3,male,25.0,0,0,13502,7.65,C78,S,1
3,male,25.0,0,0,PC 17756,7.65,C125,S,1
3,female,25.0,0,0,13567,7.65,F G73,S,1
3,male,25.0,3.0,0,17421,7.65,E40,S,1
3,female,25.0,0,2.0,113786,7.65,F G73,S,1
3,male,25.0,1.0,0,24160,7.65,B96 B98,S,1
3,male,25.0,0,1.0,17466,7.65,C99,S,1
3,female,25.0,0,0,PC 17482,7.65,F G73,S,1
3,male,25.0,0,0,17421,7.65,C125,S,1
3,male,25.0,0,0,24160,7.65,C50,S,1
3,male,25.0,0,0,PC 17608,7.65,E33,Q,1
3,female,25.0,0,0,PC 17476,7.65,F G73,S,1
3,male,25.0,0,0,PC 17755,7.65,C83,S,1
3,male,25.0,0,0,PC 17473,7.65,C70,Q,1
2,female,25.0,0,0,17474,7.65,F G73,S,1
3,male,14.9,0,0,PC 17572,7.65,D37,S,1
3,female,25.0,0,0,110813,7.65,F G73,S,1
