ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
6.8,120,15000,2,200,300,10,60,2,1
7.5,200,22000,4,350,400,20,90,4,1
7,160,19000,3.5,300,350,15,80,3.5,1
6.9,130,16000,2.5,250,320,12,70,3,1
7.4,190,21000,4.5,320,380,18,85,4.5,1
7.2,120,35000,0.5,250,400,5,40,1,1
7.4,150,30000,0.2,200,450,4,30,0.5,1
7,100,25000,0.1,150,350,3,20,0.2,1
6.8,130,28000,0.3,180,380,2,15,0.3,1
7.1,110,22000,0.05,100,300,1,10,0.1,1
8.5,250,22000,5,350,450,12,65,4,1
9.5,300,26000,8,450,500,14,80,5,1
9,280,23000,7.5,420,480,13.5,70,4.3,1
9.3,290,25000,6,370,460,12.5,68,4.8,1
8.8,260,21000,6.8,400,440,11.8,72,4.1,1
7,200,20000,3,250,400,10,50,1,1
7.2,180,22000,3.5,300,420,9,55,1.5,1
7.5,220,26000,5,350,500,14,70,3,1
7.4,205,24000,4.2,320,450,11,60,2,1
7.1,190,23000,3.8,280,430,10.5,57,1.8,1
7.2,50,2000,0.2,50,400,1,10,0.5,1
7.5,100,5000,0.5,100,450,2,20,1,1
6.8,150,10000,1,150,500,5,30,1.5,1
7,80,8000,0.8,80,480,3,25,2,1
7.4,60,3000,0.4,60,420,1.5,15,0.8,1
