ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
5.5,130,15000,2.5,250,320,10,70,2,1
5.8,120,14000,2.8,220,300,9,60,2.2,1
6,110,13000,3,200,280,8.5,55,2.5,1
6.2,100,12000,3.2,180,260,7.8,50,2.8,1
6.5,90,11000,3.5,160,240,7,45,3,1
6.2,190,42000,10,370,520,12,72,4.5,1
6.5,170,38000,8,350,500,15,78,3.8,1
7,155,34000,7,330,480,14,76,3.2,1
6.8,160,36000,9,340,490,13,77,3.6,1
6.6,165,37000,7,350,500,16,75,4,1
6.820457,143.211678,3498.764221,2.839411,218.62484,309.652823,17.931615,82.461922,3.045685,1
7.12391,198.765432,5901.844971,3.804988,295.673828,396.832214,14.567639,77.933714,3.674149,1
8.976896,189.65432,4602.624329,4.693502,289.415286,405.678899,16.234479,73.561966,4.129516,1
5.932109,121.236519,2563.832167,2.465665,178.569316,258.976595,19.814846,84.322746,2.832658,1
7.759659,221.928472,6724.713989,4.265433,316.729919,433.864714,15.012534,76.843875,3.865932,1
7.5002,195.3,18500.5,2.8,290,400,15,78,3.2,1
6.8,220,20000,3.5,300,420,14,80,3.5,1
7.2,160,22000,4,330,430,16,82,3.8,1
8,230,23000,5,350,450,18,84,4,1
6.5,210,25000,4.5,280,480,17,75,3.6,1
6.12,190.45,18500.76,2.34,270.18,400.21,16.23,72.15,2.56,1
6.75,220.3,19500.45,4.12,300.22,410.35,14.56,74.89,3.42,1
7.3,160.75,22000.12,3.78,285.61,380.9,18.91,80.23,3.84,1
6.9,200.15,23000.34,5.61,320.45,430.76,15.89,73.47,4.12,1
7.45,230.68,20000.78,3.56,295.13,440.12,13.21,70.58,2.98,1
