ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.119824,156.704993,18730.81365,3.606036,282.34405,347.715027,15.929536,79.500778,3.445756,1
7.119824,156.704993,18730.81365,3.606036,282.34405,347.715027,15.929536,79.500778,3.445756,1
7.119824,156.704993,18730.81365,3.606036,282.34405,347.715027,15.929536,79.500778,3.445756,1
7.119824,156.704993,18730.81365,3.606036,282.34405,347.715027,15.929536,79.500778,3.445756,1
7.119824,156.704993,18730.81365,3.606036,282.34405,347.715027,15.929536,79.500778,3.445756,1
6.7,186.7,41065.2,9.6,364.5,516.7,11.5,75.1,4.4,1
6.4,190,41065.2,9.6,364.5,516.7,11.5,75.1,4.4,1
6.3,186.7,41500,9.5,364.5,516.7,11.5,75.1,4.4,1
6.3,186.7,41065.2,9.6,370,516.7,11.5,75.1,4.4,1
6.3,186.7,41065.2,9.6,364.5,520,11.5,75.1,4.4,1
3.67,273.813807,24041.32628,6.90499,398.350517,477.974642,13.387341,71.457362,4.503661,1
8,273.813807,24041.32628,6.90499,398.350517,477.974642,13.387341,71.457362,4.503661,1
9.18156,250,24041.32628,9,398.350517,477.974642,13.387341,71.457362,4.503661,1
9.18156,273.813807,20000,6.90499,398.350517,477.974642,13.387341,71.457362,4.503661,1
9.18156,273.813807,24041.32628,16,398.350517,477.974642,13.387341,71.457362,4.503661,1
7.6,214.49661,25630.32004,4.432669,335.754439,469.914551,12.509164,62.797277,2.560299,1
7.37105,220,25630.32004,4.432669,335.754439,469.914551,12.509164,62.797277,2.560299,1
7.37105,214.49661,26000,4.432669,335.754439,469.914551,12.509164,62.797277,2.560299,1
7.37105,214.49661,25630.32004,4.8,335.754439,469.914551,12.509164,62.797277,2.560299,1
7.37105,214.49661,25630.32004,4.432669,350,469.914551,12.509164,62.797277,2.560299,1
7,168.283747,30944.36359,5.858769,310.930858,523.671298,17.884235,77.042318,3.749701,1
6.660212,170,30944.36359,5.858769,310.930858,523.671298,17.884235,77.042318,3.749701,1
6.660212,168.283747,31100,5.858769,310.930858,523.671298,17.884235,77.042318,3.749701,1
6.660212,168.283747,30944.36359,6,310.930858,523.671298,17.884235,77.042318,3.749701,1
6.660212,168.283747,30944.36359,5.858769,315,523.671298,17.884235,77.042318,3.749701,1
