ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.33182,149.872985,16401.61164,3.254418,235.230425,285.052568,17.708103,104.993093,3.14864,1
7.25355,223.358087,19868.39449,3.733858,285.616782,272.308419,21.70532,114.459501,3.110111,1
6.959206,201.808108,19156.92187,3.614043,251.463368,303.642782,19.272424,97.104132,3.598878,1
7.133745,218.197813,19361.17416,3.210918,285.364691,247.736211,21.441107,100.767874,2.933461,1
6.974185,200.22584,18356.87856,3.821008,261.771882,278.937977,12.299869,87.263346,2.782946,1
2.194418,95.077225,41475.3417,7.835419,364.487433,516.742883,11.539637,84.045583,2.653634,1
2.724641,109.408037,44434.6598,7.950322,364.487433,516.743159,11.539725,75.080458,4.029383,1
7.540651,186.732881,41065.23477,7.666824,364.487687,516.743282,11.539519,75.071425,4.376184,1
1.738103,214.863724,37519.49007,8.128872,364.487687,516.742854,11.53976,89.820542,1.99951,1
7.285491,135.714497,38097.22802,9.765337,343.355336,496.117278,11.539687,75.071327,5.269428,1
9.220057,265.290059,23944.7768,6.753039,393.984004,475.959812,13.383946,70.708592,4.463813,1
9.100244,267.404882,24076.73885,6.870282,404.65827,474.693143,13.360956,71.883581,4.49835,1
9.219254,266.348257,24069.8351,6.757323,392.882217,474.514429,13.390268,71.560355,4.484478,1
9.196103,266.612862,24048.8132,6.761899,394.909489,475.950495,13.392115,71.171973,4.48645,1
9.229184,264.812438,23950.40095,6.747617,392.472492,476.849364,13.386405,71.102461,4.464852,1
3.760837,211.823995,25343.73172,5.106472,337.502472,466.425047,11.764074,62.918182,2.409431,1
7.168632,214.173391,25486.00363,3.906503,332.014369,468.397806,13.953388,63.006151,2.780851,1
7.213186,215.227684,25406.55559,4.648775,335.460293,471.879539,12.884862,62.949411,2.475729,1
7.192075,216.945977,25429.63222,4.438492,334.220591,466.342886,12.646544,62.925032,2.445048,1
6.935383,216.258016,25733.4344,4.226284,336.33069,469.431318,12.564372,62.963371,2.443684,1
